"","doc1","doc2","num_shared_entries","similarity","distance"
"196","P247864","P332934",48,0.206008583690987,0.793991416309013
"779","P271911","P247864",48,0.183206106870229,0.816793893129771
"938","P273880","P447996",48,0.275862068965517,0.724137931034483
"994","P332934","P247864",48,0.206008583690987,0.793991416309013
"1484","P447996","P273880",48,0.275862068965517,0.724137931034483
"1542","P459216","P459217",48,0.466019417475728,0.533980582524272
"1584","P459217","P459216",48,0.466019417475728,0.533980582524272
"755","P271771","P332934",47,0.494736842105263,0.505263157894737
"1007","P332934","P271771",47,0.494736842105263,0.505263157894737
"673","P271301","P370399",45,0.409090909090909,0.590909090909091
"812","P271911","P459218",45,0.511363636363636,0.488636363636364
"1177","P370399","P271301",45,0.409090909090909,0.590909090909091
"1239","P388265","P447996",45,0.258620689655172,0.741379310344828
"1491","P447996","P388265",45,0.258620689655172,0.741379310344828
"1610","P459218","P271911",45,0.511363636363636,0.488636363636364
"171","P235262","Q000039",44,0.63768115942029,0.36231884057971
"624","P253866","P273880",44,0.478260869565217,0.521739130434783
"918","P273880","P253866",44,0.478260869565217,0.521739130434783
"1461","P437074","Q000039",44,0.676923076923077,0.323076923076923
"1767","Q000039","P235262",44,0.63768115942029,0.36231884057971
"1797","Q000039","P437074",44,0.676923076923077,0.323076923076923
"200","P247864","P370399",39,0.354545454545455,0.645454545454546
"209","P247864","P459217",39,0.371428571428571,0.628571428571429
"679","P271301","P437074",39,0.6,0.4
"941","P273880","P459218",39,0.443181818181818,0.556818181818182
"1166","P370399","P247864",39,0.354545454545455,0.645454545454546
"1240","P388265","P459216",39,0.378640776699029,0.621359223300971
"1435","P437074","P271301",39,0.6,0.4
"1534","P459216","P388265",39,0.378640776699029,0.621359223300971
"1553","P459217","P247864",39,0.371428571428571,0.628571428571429
"1613","P459218","P273880",39,0.443181818181818,0.556818181818182
"929","P273880","P346714",37,0.316239316239316,0.683760683760684
"1097","P346714","P273880",37,0.316239316239316,0.683760683760684
"441","P253228","P253228",36,1,0
"485","P253233","P253233",36,1,0
"768","P271771","P459217",36,0.378947368421053,0.621052631578947
"1190","P370399","P388265",36,0.327272727272727,0.672727272727273
"1232","P388265","P370399",36,0.327272727272727,0.672727272727273
"1566","P459217","P271771",36,0.378947368421053,0.621052631578947
"208","P247864","P459216",35,0.339805825242718,0.660194174757281
"529","P253238","P253238",35,1,0
"927","P273880","P332934",35,0.150214592274678,0.849785407725322
"1011","P332934","P273880",35,0.150214592274678,0.849785407725322
"1032","P332934","X100003",35,1,0
"1104","P346714","P388265",35,0.299145299145299,0.700854700854701
"1230","P388265","P346714",35,0.299145299145299,0.700854700854701
"1235","P388265","P429503",35,0.291666666666667,0.708333333333333
"1319","P429503","P388265",35,0.291666666666667,0.708333333333333
"1510","P459216","P247864",35,0.339805825242718,0.660194174757281
"1830","X100003","P332934",35,1,0
"1849","X100003","X100003",35,1,0
"631","P253866","P388265",34,0.369565217391304,0.630434782608696
"1219","P388265","P253866",34,0.369565217391304,0.630434782608696
"151","P235262","P273880",33,0.478260869565217,0.521739130434783
"558","P253238","Q000039",33,0.942857142857143,0.0571428571428572
"705","P271320","P271320",33,1,0
"760","P271771","P388265",33,0.347368421052632,0.652631578947368
"907","P273880","P235262",33,0.478260869565217,0.521739130434783
"1222","P388265","P271771",33,0.347368421052632,0.652631578947368
"1776","Q000039","P253238",33,0.942857142857143,0.0571428571428572
"145","P235262","P271301",32,0.463768115942029,0.536231884057971
"320","P250364","P271911",32,0.41025641025641,0.58974358974359
"618","P253866","P271301",32,0.347826086956522,0.652173913043478
"649","P271301","P235262",32,0.463768115942029,0.536231884057971
"660","P271301","P253866",32,0.347826086956522,0.652173913043478
"782","P271911","P250364",32,0.41025641025641,0.58974358974359
"165","P235262","P459216",31,0.449275362318841,0.550724637681159
"207","P247864","P447996",31,0.17816091954023,0.82183908045977
"1325","P429503","P447996",31,0.258333333333333,0.741666666666667
