"id_text","id_line","label","lemma","base","skip","entry"
"Q000001",453,"452","uzu[flesh]N tuhul[hip]N","uzu tugul(|NAGAR.ZA@t|)",0,"uzu[flesh]N_tuhul[hip]N"
"P347814",204,"c ii 10","niŋ[thing]N min[two]NU sila[unit]N","{ŋeš}niŋ₂ min sila₃",0,"niŋ[thing]N_min[two]NU_sila[unit]N"
"Q000039",400,"356","DUB.du₃[~vehicle]N šag[heart]N","{ŋeš}kišib₃-du₃ šag₄",0,"DUB.du₃[~vehicle]N_šag[heart]N"
"P459217",64,"iii 14","{ŋeš}mi-ri₂-x-eš-x[NA]NA","{ŋeš}mi-ri₂-x-eš-x",0,"{ŋeš}mi-ri₂-x-eš-x[NA]NA"
"P253233",80,"r iii 19'","{ŋeš}x-x-um[NA]NA","{ŋeš}x-x-um",0,"{ŋeš}x-x-um[NA]NA"
"P388265",150,"r i 28","al[hoe]N zu[tooth]N min[two]NU","{ŋeš}al zu₂ min",0,"al[hoe]N_zu[tooth]N_min[two]NU"
"P271301",335,"r ii 19","kuŋ[stair]N","{ŋeš}kuŋ₄",0,"kuŋ[stair]N"
"P273880",346,"b iv 9","ŋešgudi[instrument]N","ŋeš-gu₃-di",0,"ŋešgudi[instrument]N"
"P459217",135,"r i 22'","x-na[NA]NA","x-na",0,"x-na[NA]NA"
"P388265",431,"t.e. iii 3","šu[handle]N","{ŋeš}šu",0,"šu[handle]N"
"P429504",29,"o iii' 10","peškal[tree]N","{ŋeš}peš-gal",0,"peškal[tree]N"
"P437074",137,"c i 2'","ŋirigub[footstool]N lammar[deity]N","{ŋeš}ŋiri₃-gub {d}lamma",0,"ŋirigub[footstool]N_lammar[deity]N"
"Q000039",498,"446","apin[plow]N tugsaga[plow]N","{ŋeš}apin tug₂-saga₁₁",0,"apin[plow]N_tugsaga[plow]N"
"P347814",17,"a i 16'","ig[door]N x[NA]NA ŋeš-UR₄-x-ga[NA]NA","{ŋeš}ig x ŋeš-UR₄-x-ga",0,"ig[door]N_x[NA]NA_ŋeš-UR₄-x-ga[NA]NA"
"P253245",18,"o 14","{ŋeš}igi-X[NA]NA","{ŋeš}igi-X",0,"{ŋeš}igi-X[NA]NA"
"P273880",633,"d i 6'","ŋešpu[rim]N","ŋeš-bu",0,"ŋešpu[rim]N"
"P299509",1,"1","ŋešnud[bed]N","ŋeš-nud",0,"ŋešnud[bed]N"
"P332934",99,"o ii 16","manu[wood]N šu[hand]N","{ŋeš}ma-nu šu",0,"manu[wood]N_šu[hand]N"
"Q000001",21,"21","udu[sheep]N kur[mountain]N","udu kur",0,"udu[sheep]N_kur[mountain]N"
"P347814",65,"a ii 36'","gur[rim]N bandudu[basket]N","{ŋeš}gur₂ ba-an-du₈",0,"gur[rim]N_bandudu[basket]N"
"Q000001",491,"487a","uzu[flesh]N sa[sinew]N hal[thigh]N","uzu sa hal",0,"uzu[flesh]N_sa[sinew]N_hal[thigh]N"
"P429503",138,"r ii' 14'","egir[back]N ma[ship]N","{ŋeš}egir ma₂",0,"egir[back]N_ma[ship]N"
"P228096",10,"o i 8","nisiki[comb]N","{ŋeš}UMBIN",0,"nisiki[comb]N"
"P250736",192,"r i 46","dug[pot]N a-x[NA]NA","dug a-x",0,"dug[pot]N_a-x[NA]NA"
"P388265",433,"t.e. iii 5","ma[ship]N gid[drag]V/t","{ŋeš}ma₂ gid₂",0,"ma[ship]N_gid[drag]V/t"
"P389511",19,"r 3","{ŋeš}du-um[NA]NA","{ŋeš}du-um",0,"{ŋeš}du-um[NA]NA"
"P332934",293,"r iii 20","ma[ship]N x[NA]NA","{ŋeš}ma₂ x",0,"ma[ship]N_x[NA]NA"
"P447996",89,"o v 14","nurma[pomegranate]N us[follow]V/t","{ŋeš}nu-ur₂-ma us₂",0,"nurma[pomegranate]N_us[follow]V/t"
"P271301",71,"o ii 19","ildag[poplar]N bur[spread]V/t","{ŋeš}ildag₂ bur-ra",0,"ildag[poplar]N_bur[spread]V/t"
"Q000039",641,"575","gidim[fork]N tur[small]V/i","{ŋeš}gi₂-dim tur",0,"gidim[fork]N_tur[small]V/i"
"P247864",73,"o ii 10","ŋešnimbar[palm]N |TUR.TUR|[NA]NA","{ŋeš}ŋešnimbar |TUR.TUR|",0,"ŋešnimbar[palm]N_|TUR.TUR|[NA]NA"
"P370399",107,"o iv 4'","gagsila[harness]N","{ŋeš}gag-sila₃",0,"gagsila[harness]N"
"P349893",3,"3","ema[cabin]N","{ŋeš}ama",0,"ema[cabin]N"
"P273712",18,"r i 8","al[hoe]N zu[tooth]N limmu[four]NU","{ŋeš}al zu₂ limmu₅",0,"al[hoe]N_zu[tooth]N_limmu[four]NU"
"P271911",416,"unknown","unknown","unknown",1,"unknown"
"P271911",324,"r i 14'","illar[weapon]N de[bring]V/t","illar de₆",0,"illar[weapon]N_de[bring]V/t"
"X100003",7,"o 6","ŋešgana[tree]N","ŋeš-kin₂",0,"ŋešgana[tree]N"
"P253230",19,"o i 14","apin[plow]N tugsaga[plow]N","{ŋeš}apin dug₃-sig₁₈",0,"apin[plow]N_tugsaga[plow]N"
"Q000039",95,"76","ŋešnimbar[palm]N izi[fire]N gu[eat]V/t","{ŋeš}ŋešnimbar izi gu₇",0,"ŋešnimbar[palm]N_izi[fire]N_gu[eat]V/t"
"P271301",42,"o i 39","hašhur[apple]N","{ŋeš}hašhur",0,"hašhur[apple]N"
"P271911",105,"o ii 30","garig[comb]N eban[pair]N","ga-rig₂ e₂-pa-na",0,"garig[comb]N_eban[pair]N"
"Q000001",159,"159","sila[lamb]N ud[sun]N buru[harvest]N","sila₄ ud buru₁₄",0,"sila[lamb]N_ud[sun]N_buru[harvest]N"
"P247864",314,"o v 62","ma[ship]N šu[hand]N du[suitable]V/i","{ŋeš}ma₂ šu du₇",0,"ma[ship]N_šu[hand]N_du[suitable]V/i"
"Q000039",478,"427","ŋešellag[tool]N","ŋeš-ellag",0,"ŋešellag[tool]N"
"P273880",428,"c i 33","raba[clamp]N","{ŋeš}rab₃",0,"raba[clamp]N"
"Q000039",723,"651a","gam[crook]N ŋiri[dagger]N muhaldim[cook]N","{ŋeš}kab ŋiri₂ muhaldim",0,"gam[crook]N_ŋiri[dagger]N_muhaldim[cook]N"
"P250363",5,"o 4'","ig[door]N eren[cedar]N","{ŋeš}ig {ŋeš}eren",0,"ig[door]N_eren[cedar]N"
"P271911",105,"o ii 30","garig[comb]N eban[pair]N","ga-rig₂ e₂-pa-na",0,"garig[comb]N_eban[pair]N"
"P492330",36,"r i 6'","{ŋeš}saŋ-x[NA]NA","{ŋeš}saŋ-x",0,"{ŋeš}saŋ-x[NA]NA"
"P250364",96,"o v 17","{ŋeš}x[NA]NA","{ŋeš}x",0,"{ŋeš}x[NA]NA"
"P388265",8,"i 10","elammakum[tree]N","{ŋeš}e-lam-kum",0,"elammakum[tree]N"
"P273880",459,"c ii 3","ŋisal[rudder]N ŋiri[foot]N","{ŋeš}ŋisal ŋiri₃",0,"ŋisal[rudder]N_ŋiri[foot]N"
"P273880",96,"a iii 34'","GUL[~chariot]N gigir[chariot]N","{ŋeš}GUL gigir",0,"GUL[~chariot]N_gigir[chariot]N"
"Q000001",151,"151","maš[goat]N su[red]V/i","maš₂ su₄",0,"maš[goat]N_su[red]V/i"
"P459217",116,"r i 2'","šušum[licorice]N","{ŋeš}šušin",0,"šušum[licorice]N"
"P271911",309,"r i 2'","gag[nail]N usakar[moon]N","gag u₄-sakar",0,"gag[nail]N_usakar[moon]N"
"P271301",372,"r iii 5","magid[boat]N","{ŋeš}ma₂-gid₂-da",0,"magid[boat]N"
"Q000001",1,"1","udu[sheep]N niga[fattened]V/i","udu niga",0,"udu[sheep]N_niga[fattened]V/i"
"P253866",7,"o i 2'","saŋdu[beam]N","{ŋeš}saŋ-du",0,"saŋdu[beam]N"
"P332934",293,"r iii 20","ma[ship]N x[NA]NA","{ŋeš}ma₂ x",0,"ma[ship]N_x[NA]NA"
"P273880",65,"a ii 47'","margida[cart]N","{ŋeš}mar-gid₂-da",0,"margida[cart]N"
"P459216",39,"ii 7","manu[wood]N gibil[firewood]N ak[do]V/t","{ŋeš}ma-nu gibil₂ ak",0,"manu[wood]N_gibil[firewood]N_ak[do]V/t"
"P437074",75,"unknown","unknown","unknown",999,"unknown"
"P271911",329,"r i 19'","illar[weapon]N eban[pair]N","illar e₂-pa-na",0,"illar[weapon]N_eban[pair]N"
"P447996",206,"unknown","unknown","unknown",7,"unknown"
"P273880",280,"b iii 4","sumur[roof]N banšur[table]N","{ŋeš}sumur₃ {ŋeš}banšurₓ(|URU×IGI.URUDA|)",0,"sumur[roof]N_banšur[table]N"
"P271911",91,"o ii 17","balak[spindle]N","balak",0,"balak[spindle]N"
"P250736",58,"o ii 32","dur[bond]N ana[upper-part]N X-me-eš[NA]NA","{gi}dur an-na X-me-eš",0,"dur[bond]N_ana[upper-part]N_X-me-eš[NA]NA"
"P332934",226,"unknown","unknown","unknown",999,"unknown"
"P271911",476,"r iii 15","tukul[weapon]N Damu[1]DN","tukul {d}da-mu",0,"tukul[weapon]N_Damu[1]DN"
"P271301",291,"r i 19","šuʾa[stool]N šuʾi[barber]N","{ŋeš}šuaₓ(|ŠU₂×(A.DIŠ)|) šu-i",0,"šuʾa[stool]N_šuʾi[barber]N"
