ašag[field]n_šim[na]na,NA,NA,kinirša[1]sn,NA,NA,NA,NA,iamutbalum[1]gn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_edin-la₂[na]na,NA,NA,kiʾabrig[1]sn,NA,NA,NA,NA,mutiabal[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_saŋkešed[strap]n,NA,NA,e-lugal[1]sn,NA,NA,NA,NA,isin-šulgi[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_sudin[plant]n,NA,NA,e-dumusal-lugal[1]sn,NA,NA,NA,NA,šulgi-nanna[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_ki.kal[grasses]n,NA,NA,e-danna[1]sn,NA,NA,NA,NA,guʾabak[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_ribba[plant]n,NA,NA,e-tukul[1]sn,NA,NA,NA,NA,simurru[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_sur[ditch]n,NA,NA,e-ŋešpu[1]sn,NA,NA,NA,NA,anšan[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_sur[ditch]n_{d}gilgameš[na]na,NA,NA,e-sadma[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_zag[side]n_us[follow]v/t,NA,NA,lugal-anzud[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_halub[tree]n_andul[shade]n,NA,NA,anzud-babbar[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_ganda[locus]n,NA,NA,anzud-kukku[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_gan₂-bur₃[na]na,NA,NA,zarbubu[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
