,designation,period,provenience
P020586,HS 0922,ED IIIb,Nippur
P020587,HS 0923,ED IIIb,Nippur
P020642,HS 0980,ED IIIb,Nippur
P117394,"MVN 13, 621",Old Babylonian,uncertain
P117395,"MVN 13, 622",Old Babylonian,uncertain
P117396,"MVN 13, 623",Old Babylonian,uncertain
P117397,"MVN 13, 624",Old Babylonian,uncertain
P117404,"MVN 13, 631",Old Babylonian,uncertain
P128345,Rochester 248,Old Babylonian,uncertain
P134618,"TMH NF 1-2, 308",ED IIIb,Nippur
P142806,"AAICAB 1/1, pl. 058, 1924-0519",Old Babylonian,Kish
P145550,"OLZ 17, 305 P371",Old Babylonian,uncertain
P209775,"Ontario 2, 505",Old Babylonian,uncertain
P209812,"Ontario 2, 496",Old Babylonian,uncertain
P209815,"Ontario 2, 499",Old Babylonian,uncertain
P209818,"Ontario 2, 502",Old Babylonian,uncertain
P209820,"Ontario 2, 504",Old Babylonian,uncertain
P212382,HS 1278 + HS 1737,Old Babylonian,Nippur
P212522,"ETB 2, 17",Old Akkadian,Nagar
P213482,"HSS 10, 222",Old Akkadian,Gasur
P213492,"Iraq 31, 003ff.",Old Akkadian,Kish
P213705,"ITT 1, 01267",Old Akkadian,Girsu
P214699,"ITT 2, 05898 + ITT 5, 09251",Old Akkadian,Girsu
P214930,"BuB 2, temp 05",Old Akkadian,uncertain
P215051,"OIP 014, 196",ED IIIa,Adab
P215360,"MAD 5, 035",Ur III,Kish
P215555,"MDP 06, p. 008, pl. 2, 1",Old Akkadian,Susa
P215644,"MDP 14, 87",Old Akkadian,Susa
P215645,"MDP 14, 88",Old Akkadian,Susa
P215646,"MDP 14, 89",Old Akkadian,Susa
P215653,"MDP 18, 021",Old Akkadian,Susa
P215659,"MDP 27, 196",Old Akkadian,Susa
P216085,"OSP 1, 008",ED IIIb,Nippur
P217451,VN 6,Old Akkadian,Girsu
P217644,"YOS 01, 11",Old Akkadian,not entered
P217645,"YOS 01, 12",Old Akkadian,Nippur
P218164,"SANTAG 7, 089",Old Babylonian,uncertain
P218299,CDLJ 2003/3,ED IIIa,Nagar
P218302,SLT 113,Old Babylonian,Nippur
P218303,SLT 112,Old Babylonian,Nippur
P218304,N 5566 + N 5583 + N 5651 + N 7441 + N 7454 (+) N 5655 (+) N 7444,Old Babylonian,Nippur
P218305,BM 058680,Old Babylonian,Sippar
P218307,"MEE 03, 001",ED IIIb,Ebla
P218308,"MEE 03, 002 + 005",ED IIIb,Ebla
P218309,"FAOS 02, 092",Old Babylonian,Kisurra
P218310,"UET 7, 0086",Old Babylonian,Ur
P218312,"MEE 03, 050 +",ED IIIb,Ebla
P218313,"Eblaitica I, 91-113 +",ED IIIb,Ebla
P220987,DP 337,ED IIIb,Girsu
P221574,"OSP 1, 011",ED IIIb,Nippur
P221768,"FT 2, pl. 44, AO 13024",Old Akkadian,Girsu
P221799,"BiMes 03, 29",ED IIIb,Lagash
P222197,"MVN 03, 015",ED IIIa,Shuruppak
P222932,"CUSAS 26, 016",ED IIIa,Kish
P222934,"CUSAS 26, 017",ED IIIa,Kish
P222943,BM 058580,Old Babylonian,not entered
P222944,6N-T0920,Ur III,Nippur
P222959,RIAA 048,Old Babylonian,not entered
P222960,RIAA 050,Old Babylonian,not entered
P223386,"TIM 09, 091",Old Babylonian,not entered
P223393,"TIM 09, 089",Old Babylonian,not entered
P223397,"TIM 09, 086",Old Babylonian,not entered
P223410,"TIM 09, 092",Old Babylonian,not entered
P223417,"TIM 09, 088",Old Babylonian,not entered
P223421,"TIM 09, 090",Old Babylonian,not entered
P223422,"TIM 09, 087",Old Babylonian,not entered
P223430,"TIM 09, 093",Old Babylonian,not entered
P223453,"TIM 09, 085",Old Babylonian,not entered
P224622,"CTN 2, 216",Neo-Assyrian,Kalhu
P224937,"TIM 07, 245",Old Babylonian,Der
P224938,"TIM 07, 246",Old Babylonian,Der
P224940,"TIM 07, 248",Old Babylonian,Der
P224980,"TIM 10, 001",Old Babylonian,not entered
P224981,"TIM 10, 002",Old Babylonian,not entered
P224982,"TIM 10, 003",Old Babylonian,not entered
P224983,"TIM 10, 004",Old Babylonian,not entered
P224984,"TIM 10, 005",Old Babylonian,not entered
P224985,"TIM 10, 006",Old Babylonian,not entered
P224986,"TIM 10, 007",Old Babylonian,not entered
P224987,"TIM 10, 008",Old Babylonian,not entered
P224988,"TIM 10, 009",Old Babylonian,not entered
P224989,"TIM 10, 010",Old Babylonian,not entered
P224990,"TIM 10, 011",Old Babylonian,not entered
P224991,"TIM 10, 012",Old Babylonian,not entered
P224992,"TIM 10, 013",Old Babylonian,not entered
P224993,"TIM 10, 015",Old Babylonian,not entered
P224994,"TIM 10, 016",Old Babylonian,not entered
P224995,"TIM 10, 017",Old Babylonian,not entered
P224996,"TIM 10, 018",Old Babylonian,not entered
P224997,"TIM 10, 019",Old Babylonian,not entered
