"","doc1","doc2","distance"
"291","P250364","P346714",0.861111111111111
"382","P253228","P271771",0.736842105263158
"417","P253233","P273880",0.75
"508","P253866","P346714",0.873417721518987
"559","P271320","P332934",0.72972972972973
"591","P271771","P429503",0.897959183673469
"656","P273712","P347814",0.411764705882353
"673","P273880","P332930",0.583333333333333
"675","P273880","P332939",0.714285714285714
"752","P346714","P370399",0.898989898989899
"824","P389511","Q000039",0.285714285714286
"833","P429503","P459226",0.444444444444444
"871","P447996","P459226",0.444444444444444
"196","P247864","P459226",0.5
"274","P250364","P250371",0.1
"286","P250364","P273712",0.470588235294118
"289","P250364","P332934",0.875
"292","P250364","P347814",0.875
"293","P250364","P370399",0.875
"386","P253228","P273880",0.763157894736842
"408","P253233","P253238",0.727272727272727
"443","P253238","P271771",0.727272727272727
"539","P271301","P389511",0.357142857142857
"651","P273712","P273880",0.470588235294118
"667","P273712","P459218",0.470588235294118
"715","P332934","P346714",0.921052631578947
"719","P332934","P389511",0.357142857142857
"847","P429504","Q000039",0.625
"875","P447996","X100003",0.7
"897","P459226","X100003",0.5
"174","P247864","P271320",0.783783783783784
"223","P250361","P388265",0.466666666666667
"252","P250363","P273880",0.333333333333333
"281","P250364","P271301",0.888888888888889
"341","P250371","Q000039",0.2
"476","P253245","P273880",0.333333333333333
"564","P271320","P388265",0.783783783783784
"642","P272243","P447996",0.555555555555556
"649","P272243","Q000039",0.555555555555556
"655","P273712","P346714",0.529411764705882
"717","P332934","P370399",0.919191919191919
"819","P389511","P459217",0.428571428571429
"122","P229426","Q000039",0.5
"127","P235262","P250364",0.902777777777778
"130","P235262","P253228",0.815789473684211
"131","P235262","P253233",0.825
"144","P235262","P332939",0.8
"163","P247864","P250361",0.533333333333333
"200","P247864","X100003",0.766666666666667
"213","P250361","P271911",0.533333333333333
"282","P250364","P271320",0.810810810810811
"496","P253245","Q000039",0.416666666666667
"563","P271320","P370399",0.810810810810811
"569","P271320","P437074",0.810810810810811
"658","P273712","P388265",0.588235294117647
"746","P332939","P459226",0.611111111111111
"755","P346714","P429503",0.93859649122807
"768","P347814","P370399",0.929292929292929
"812","P388265","X100003",0.766666666666667
"21","P228096","P273880",0.538461538461538
"41","P228096","Q000039",0.538461538461538
"96","P229426","P271301",0.571428571428571
"164","P247864","P250363",0.5
"190","P247864","P432448",0.571428571428571
"377","P253228","P253238",0.818181818181818
"389","P253228","P332939",0.828571428571429
"407","P253228","X100003",0.8
"420","P253233","P332939",0.828571428571429
"438","P253233","X100003",0.8
"447","P253238","P273880",0.818181818181818
"499","P253866","P271320",0.837837837837838
"520","P253866","P459218",0.924050632911392
"560","P271320","P332939",0.828571428571429
"683","P273880","P432448",0.571428571428571
"693","P273880","X100003",0.8
"705","P332930","P447996",0.75
"792","P370399","P459217",0.939393939393939
"802","P388265","P432448",0.571428571428571
"808","P388265","P459226",0.666666666666667
"813","P389511","P429503",0.571428571428571
"818","P389511","P459216",0.571428571428571
"839","P429504","P437074",0.75
"854","P432448","P459226",0.571428571428571
"884","P459217","P459226",0.666666666666667
"59","P228196","P271911",0.6875
"67","P228196","P347814",0.6875
"142","P235262","P332930",0.791666666666667
"153","P235262","P437074",0.930555555555556
"220","P250361","P346714",0.666666666666667
"249","P250363","P271911",0.583333333333333
"259","P250363","P388265",0.583333333333333
"323","P250371","P332934",0.5
"397","P253228","P432448",0.642857142857143
"428","P253233","P432448",0.642857142857143
"513","P253866","P429503",0.936708860759494
"535","P271301","P346714",0.956140350877193
"566","P271320","P429503",0.864864864864865
"588","P271771","P370399",0.948979591836735
"631","P272243","P332934",0.722222222222222
"694","P332930","P332934",0.791666666666667
"760","P346714","P459216",0.956140350877193
"859","P437074","P447996",0.930555555555556
"888","P459217","X100003",0.833333333333333
"4","P228096","P247864",0.692307692307692
"18","P228096","P271911",0.692307692307692
"45","P228196","P247864",0.75
"102","P229426","P273880",0.714285714285714
"103","P229426","P332930",0.714285714285714
"133","P235262","P253245",0.666666666666667
"145","P235262","P346714",0.945205479452055
"158","P235262","P459226",0.777777777777778
"162","P235262","X100003",0.866666666666667
"209","P250361","P253866",0.733333333333333
"216","P250361","P273880",0.733333333333333
"228","P250361","P437074",0.733333333333333
"268","P250363","P459218",0.666666666666667
"276","P250364","P253228",0.894736842105263
"290","P250364","P332939",0.885714285714286
"327","P250371","P370399",0.6
"391","P253228","P347814",0.894736842105263
"402","P253228","P459218",0.894736842105263
"403","P253228","P459226",0.777777777777778
"425","P253233","P389511",0.714285714285714
"434","P253233","P459226",0.777777777777778
"469","P253245","P253866",0.666666666666667
"470","P253245","P271301",0.666666666666667
"509","P253866","P347814",0.949367088607595
"517","P253866","P447996",0.949367088607595
"519","P253866","P459217",0.949367088607595
"590","P271771","P389511",0.714285714285714
"594","P271771","P437074",0.944444444444444
"629","P272243","P273880",0.777777777777778
"742","P332939","P447996",0.885714285714286
"744","P332939","P459217",0.885714285714286
"786","P370399","P429503",0.95959595959596
"850","P432448","P447996",0.714285714285714
"860","P437074","P459216",0.944444444444444
"27","P228096","P370399",0.769230769230769
"37","P228096","P459218",0.769230769230769
"62","P228196","P273880",0.8125
"84","P229426","P235262",0.785714285714286
"108","P229426","P370399",0.785714285714286
"134","P235262","P253866",0.958904109589041
"136","P235262","P271320",0.918918918918919
"137","P235262","P271771",0.958904109589041
"166","P247864","P250371",0.7
"167","P247864","P250736",0.986784140969163
"187","P247864","P389511",0.785714285714286
"210","P250361","P271301",0.8
"232","P250361","P459218",0.8
"257","P250363","P347814",0.75
"258","P250363","P370399",0.75
"316","P250371","P271320",0.7
"321","P250371","P273880",0.7
"374","P250736","Q000039",0.986784140969163
"383","P253228","P271911",0.921052631578947
"385","P253228","P273712",0.823529411764706
"390","P253228","P346714",0.921052631578947
"394","P253228","P389511",0.785714285714286
"455","P253238","P389511",0.785714285714286
"481","P253245","P347814",0.75
"505","P253866","P332930",0.875
"567","P271320","P429504",0.875
"572","P271320","P459217",0.918918918918919
"621","P271911","P459217",0.970873786407767
"790","P370399","P447996",0.96969696969697
"842","P429504","P459217",0.875
"852","P432448","P459217",0.785714285714286
"901","Q000001","Q000039",0.993377483443709
"55","P228196","P253866",0.875
"75","P228196","P447996",0.875
"116","P229426","P459216",0.857142857142857
"128","P235262","P250371",0.8
"152","P235262","P432448",0.857142857142857
"178","P247864","P273712",0.882352941176471
"180","P247864","P332930",0.916666666666667
"189","P247864","P429504",0.916666666666667
"315","P250371","P271301",0.8
"325","P250371","P346714",0.8
"344","P250736","P253233",0.95
"351","P250736","P271911",0.991189427312775
"361","P250736","P388265",0.991189427312775
"429","P253233","P437074",0.95
"450","P253238","P332939",0.939393939393939
"464","P253238","P459226",0.888888888888889
"473","P253245","P271911",0.833333333333333
"479","P253245","P332939",0.833333333333333
"482","P253245","P370399",0.833333333333333
"483","P253245","P388265",0.833333333333333
"485","P253245","P429503",0.833333333333333
"488","P253245","P437074",0.833333333333333
"500","P253866","P271771",0.974683544303797
"507","P253866","P332939",0.942857142857143
"514","P253866","P429504",0.916666666666667
"518","P253866","P459216",0.974683544303797
"547","P271301","P459218",0.975308641975309
"580","P271771","P272243",0.888888888888889
"585","P271771","P332939",0.942857142857143
"636","P272243","P388265",0.888888888888889
"689","P273880","P459226",0.888888888888889
"698","P332930","P370399",0.916666666666667
"706","P332930","P459216",0.916666666666667
"817","P389511","P447996",0.857142857142857
"828","P429503","P437074",0.972222222222222
"840","P429504","P447996",0.916666666666667
"899","P492330","Q000039",0.857142857142857
"7","P228096","P250364",0.923076923076923
"25","P228096","P346714",0.923076923076923
"28","P228096","P388265",0.923076923076923
"36","P228096","P459217",0.923076923076923
"56","P228196","P271301",0.9375
"63","P228196","P332930",0.9375
"68","P228196","P370399",0.9375
"85","P229426","P247864",0.928571428571429
"95","P229426","P253866",0.928571428571429
"115","P229426","P447996",0.928571428571429
"132","P235262","P253238",0.96969696969697
"157","P235262","P459218",0.986301369863014
"171","P247864","P253245",0.916666666666667
"221","P250361","P347814",0.933333333333333
"222","P250361","P370399",0.933333333333333
"226","P250361","P429504",0.933333333333333
"244","P250363","P253245",0.916666666666667
"278","P250364","P253238",0.96969696969697
"279","P250364","P253245",0.916666666666667
"296","P250364","P429503",0.986111111111111
"300","P250364","P447996",0.986111111111111
"301","P250364","P459216",0.986111111111111
"302","P250364","P459217",0.986111111111111
"348","P250736","P271301",0.995594713656388
"350","P250736","P271771",0.989795918367347
"378","P253228","P253245",0.916666666666667
"379","P253228","P253866",0.973684210526316
"396","P253228","P429504",0.958333333333333
"398","P253228","P437074",0.973684210526316
"414","P253233","P271911",0.975
"422","P253233","P347814",0.975
"423","P253233","P370399",0.975
"427","P253233","P429504",0.958333333333333
"451","P253238","P346714",0.96969696969697
"475","P253245","P273712",0.916666666666667
"480","P253245","P346714",0.916666666666667
"490","P253245","P459216",0.916666666666667
"492","P253245","P459218",0.916666666666667
"506","P253866","P332934",0.987341772151899
"528","P271301","P271911",0.997191011235955
"536","P271301","P347814",0.991666666666667
"561","P271320","P346714",0.972972972972973
"571","P271320","P459216",0.972972972972973
"608","P271911","P332934",0.99604743083004
"609","P271911","P332939",0.971428571428571
"615","P271911","P429503",0.991228070175439
"619","P271911","P447996",0.993506493506494
"625","P271911","Q000001",0.997191011235955
"644","P272243","P459217",0.944444444444444
"682","P273880","P429504",0.958333333333333
"729","P332934","P492330",0.928571428571429
"733","P332939","P346714",0.971428571428571
"735","P332939","P370399",0.971428571428571
"737","P332939","P389511",0.928571428571429
"757","P346714","P432448",0.928571428571429
"759","P346714","P447996",0.991228070175439
"761","P346714","P459217",0.990291262135922
"767","P346714","X100003",0.966666666666667
"774","P347814","P437074",0.986111111111111
"777","P347814","P459217",0.990291262135922
"801","P388265","P429504",0.958333333333333
"815","P389511","P432448",0.928571428571429
"821","P389511","P459226",0.928571428571429
"825","P389511","X100003",0.928571428571429
"864","P437074","P492330",0.928571428571429
"1","P228096","P228196",1
"2","P228096","P229426",1
"3","P228096","P235262",1
"5","P228096","P250361",1
"6","P228096","P250363",1
"8","P228096","P250371",1
"9","P228096","P250736",1
"10","P228096","P253228",1
"11","P228096","P253233",1
"12","P228096","P253238",1
"13","P228096","P253245",1
"14","P228096","P253866",1
"15","P228096","P271301",1
"16","P228096","P271320",1
"17","P228096","P271771",1
"19","P228096","P272243",1
"20","P228096","P273712",1
"22","P228096","P332930",1
"23","P228096","P332934",1
"24","P228096","P332939",1
"26","P228096","P347814",1
"29","P228096","P389511",1
"30","P228096","P429503",1
"31","P228096","P429504",1
"32","P228096","P432448",1
"33","P228096","P437074",1
"34","P228096","P447996",1
"35","P228096","P459216",1
"38","P228096","P459226",1
"39","P228096","P492330",1
"40","P228096","Q000001",1
"42","P228096","X100003",1
"43","P228196","P229426",1
"44","P228196","P235262",1
"46","P228196","P250361",1
"47","P228196","P250363",1
"48","P228196","P250364",1
"49","P228196","P250371",1
"50","P228196","P250736",1
"51","P228196","P253228",1
"52","P228196","P253233",1
"53","P228196","P253238",1
"54","P228196","P253245",1
"57","P228196","P271320",1
"58","P228196","P271771",1
"60","P228196","P272243",1
"61","P228196","P273712",1
"64","P228196","P332934",1
"65","P228196","P332939",1
"66","P228196","P346714",1
"69","P228196","P388265",1
"70","P228196","P389511",1
"71","P228196","P429503",1
"72","P228196","P429504",1
"73","P228196","P432448",1
"74","P228196","P437074",1
"76","P228196","P459216",1
"77","P228196","P459217",1
"78","P228196","P459218",1
"79","P228196","P459226",1
"80","P228196","P492330",1
"81","P228196","Q000001",1
"83","P228196","X100003",1
"86","P229426","P250361",1
"87","P229426","P250363",1
"88","P229426","P250364",1
"89","P229426","P250371",1
"90","P229426","P250736",1
"91","P229426","P253228",1
"92","P229426","P253233",1
"93","P229426","P253238",1
"94","P229426","P253245",1
"97","P229426","P271320",1
"98","P229426","P271771",1
"99","P229426","P271911",1
"100","P229426","P272243",1
"101","P229426","P273712",1
"104","P229426","P332934",1
"105","P229426","P332939",1
"106","P229426","P346714",1
"107","P229426","P347814",1
"109","P229426","P388265",1
"110","P229426","P389511",1
"111","P229426","P429503",1
"112","P229426","P429504",1
"113","P229426","P432448",1
"114","P229426","P437074",1
"117","P229426","P459217",1
"118","P229426","P459218",1
"119","P229426","P459226",1
"120","P229426","P492330",1
"121","P229426","Q000001",1
"123","P229426","X100003",1
"125","P235262","P250361",1
"126","P235262","P250363",1
"129","P235262","P250736",1
"138","P235262","P271911",1
"139","P235262","P272243",1
"140","P235262","P273712",1
"146","P235262","P347814",1
"149","P235262","P389511",1
"151","P235262","P429504",1
"159","P235262","P492330",1
"160","P235262","Q000001",1
"177","P247864","P272243",1
"197","P247864","P492330",1
"198","P247864","Q000001",1
"201","P250361","P250363",1
"202","P250361","P250364",1
"203","P250361","P250371",1
"204","P250361","P250736",1
"205","P250361","P253228",1
"206","P250361","P253233",1
"207","P250361","P253238",1
"208","P250361","P253245",1
"211","P250361","P271320",1
"212","P250361","P271771",1
"214","P250361","P272243",1
"215","P250361","P273712",1
"217","P250361","P332930",1
"218","P250361","P332934",1
"219","P250361","P332939",1
"224","P250361","P389511",1
"225","P250361","P429503",1
"227","P250361","P432448",1
"229","P250361","P447996",1
"230","P250361","P459216",1
"231","P250361","P459217",1
"233","P250361","P459226",1
"234","P250361","P492330",1
"235","P250361","Q000001",1
"237","P250361","X100003",1
"238","P250363","P250364",1
"239","P250363","P250371",1
"240","P250363","P250736",1
"241","P250363","P253228",1
"242","P250363","P253233",1
"243","P250363","P253238",1
"245","P250363","P253866",1
"246","P250363","P271301",1
"247","P250363","P271320",1
"248","P250363","P271771",1
"250","P250363","P272243",1
"251","P250363","P273712",1
"253","P250363","P332930",1
"254","P250363","P332934",1
"255","P250363","P332939",1
"256","P250363","P346714",1
"260","P250363","P389511",1
"261","P250363","P429503",1
"262","P250363","P429504",1
"263","P250363","P432448",1
"264","P250363","P437074",1
"265","P250363","P447996",1
"266","P250363","P459216",1
"267","P250363","P459217",1
"269","P250363","P459226",1
"270","P250363","P492330",1
"271","P250363","Q000001",1
"273","P250363","X100003",1
"275","P250364","P250736",1
"277","P250364","P253233",1
"280","P250364","P253866",1
"283","P250364","P271771",1
"285","P250364","P272243",1
"288","P250364","P332930",1
"295","P250364","P389511",1
"297","P250364","P429504",1
"298","P250364","P432448",1
"299","P250364","P437074",1
"304","P250364","P459226",1
"305","P250364","P492330",1
"306","P250364","Q000001",1
"308","P250364","X100003",1
"309","P250371","P250736",1
"310","P250371","P253228",1
"311","P250371","P253233",1
"312","P250371","P253238",1
"313","P250371","P253245",1
"314","P250371","P253866",1
"317","P250371","P271771",1
"318","P250371","P271911",1
"319","P250371","P272243",1
"320","P250371","P273712",1
"322","P250371","P332930",1
"324","P250371","P332939",1
"326","P250371","P347814",1
"328","P250371","P388265",1
"329","P250371","P389511",1
"330","P250371","P429503",1
"331","P250371","P429504",1
"332","P250371","P432448",1
"333","P250371","P437074",1
"334","P250371","P447996",1
"335","P250371","P459216",1
"336","P250371","P459217",1
"337","P250371","P459218",1
"338","P250371","P459226",1
"339","P250371","P492330",1
"340","P250371","Q000001",1
"342","P250371","X100003",1
"343","P250736","P253228",1
"345","P250736","P253238",1
"346","P250736","P253245",1
"347","P250736","P253866",1
"349","P250736","P271320",1
"352","P250736","P272243",1
"353","P250736","P273712",1
"354","P250736","P273880",1
"355","P250736","P332930",1
"356","P250736","P332934",1
"357","P250736","P332939",1
"358","P250736","P346714",1
"359","P250736","P347814",1
"360","P250736","P370399",1
"362","P250736","P389511",1
"363","P250736","P429503",1
"364","P250736","P429504",1
"365","P250736","P432448",1
"366","P250736","P437074",1
"367","P250736","P447996",1
"368","P250736","P459216",1
"369","P250736","P459217",1
"370","P250736","P459218",1
"371","P250736","P459226",1
"372","P250736","P492330",1
"373","P250736","Q000001",1
"375","P250736","X100003",1
"381","P253228","P271320",1
"384","P253228","P272243",1
"387","P253228","P332930",1
"392","P253228","P370399",1
"404","P253228","P492330",1
"405","P253228","Q000001",1
"409","P253233","P253245",1
"410","P253233","P253866",1
"412","P253233","P271320",1
"415","P253233","P272243",1
"416","P253233","P273712",1
"418","P253233","P332930",1
"421","P253233","P346714",1
"433","P253233","P459218",1
"435","P253233","P492330",1
"436","P253233","Q000001",1
"439","P253238","P253245",1
"440","P253238","P253866",1
"442","P253238","P271320",1
"444","P253238","P271911",1
"445","P253238","P272243",1
"446","P253238","P273712",1
"448","P253238","P332930",1
"452","P253238","P347814",1
"453","P253238","P370399",1
"457","P253238","P429504",1
"458","P253238","P432448",1
"459","P253238","P437074",1
"463","P253238","P459218",1
"465","P253238","P492330",1
"466","P253238","Q000001",1
"468","P253238","X100003",1
"471","P253245","P271320",1
"472","P253245","P271771",1
"474","P253245","P272243",1
"477","P253245","P332930",1
"478","P253245","P332934",1
"484","P253245","P389511",1
"486","P253245","P429504",1
"487","P253245","P432448",1
"489","P253245","P447996",1
"491","P253245","P459217",1
"493","P253245","P459226",1
"494","P253245","P492330",1
"495","P253245","Q000001",1
"497","P253245","X100003",1
"502","P253866","P272243",1
"503","P253866","P273712",1
"512","P253866","P389511",1
"515","P253866","P432448",1
"521","P253866","P459226",1
"522","P253866","P492330",1
"523","P253866","Q000001",1
"525","P253866","X100003",1
"530","P271301","P273712",1
"549","P271301","P492330",1
"550","P271301","Q000001",1
"553","P271320","P271771",1
"554","P271320","P271911",1
"555","P271320","P272243",1
"556","P271320","P273712",1
"558","P271320","P332930",1
"562","P271320","P347814",1
"565","P271320","P389511",1
"568","P271320","P432448",1
"570","P271320","P447996",1
"573","P271320","P459218",1
"574","P271320","P459226",1
"575","P271320","P492330",1
"576","P271320","Q000001",1
"578","P271320","X100003",1
"579","P271771","P271911",1
"581","P271771","P273712",1
"583","P271771","P332930",1
"586","P271771","P346714",1
"587","P271771","P347814",1
"592","P271771","P429504",1
"593","P271771","P432448",1
"598","P271771","P459218",1
"599","P271771","P459226",1
"600","P271771","P492330",1
"601","P271771","Q000001",1
"603","P271771","X100003",1
"604","P271911","P272243",1
"607","P271911","P332930",1
"614","P271911","P389511",1
"616","P271911","P429504",1
"617","P271911","P432448",1
"618","P271911","P437074",1
"620","P271911","P459216",1
"623","P271911","P459226",1
"624","P271911","P492330",1
"627","P271911","X100003",1
"628","P272243","P273712",1
"630","P272243","P332930",1
"632","P272243","P332939",1
"633","P272243","P346714",1
"634","P272243","P347814",1
"635","P272243","P370399",1
"637","P272243","P389511",1
"638","P272243","P429503",1
"639","P272243","P429504",1
"640","P272243","P432448",1
"641","P272243","P437074",1
"643","P272243","P459216",1
"645","P272243","P459218",1
"646","P272243","P459226",1
"647","P272243","P492330",1
"648","P272243","Q000001",1
"650","P272243","X100003",1
"652","P273712","P332930",1
"653","P273712","P332934",1
"654","P273712","P332939",1
"657","P273712","P370399",1
"659","P273712","P389511",1
"660","P273712","P429503",1
"661","P273712","P429504",1
"662","P273712","P432448",1
"663","P273712","P437074",1
"664","P273712","P447996",1
"665","P273712","P459216",1
"666","P273712","P459217",1
"668","P273712","P459226",1
"669","P273712","P492330",1
"670","P273712","Q000001",1
"672","P273712","X100003",1
"680","P273880","P389511",1
"690","P273880","P492330",1
"691","P273880","Q000001",1
"695","P332930","P332939",1
"696","P332930","P346714",1
"697","P332930","P347814",1
"699","P332930","P388265",1
"700","P332930","P389511",1
"701","P332930","P429503",1
"702","P332930","P429504",1
"703","P332930","P432448",1
"704","P332930","P437074",1
"707","P332930","P459217",1
"708","P332930","P459218",1
"709","P332930","P459226",1
"710","P332930","P492330",1
"711","P332930","Q000001",1
"713","P332930","X100003",1
"716","P332934","P347814",1
"727","P332934","P459218",1
"730","P332934","Q000001",1
"734","P332939","P347814",1
"739","P332939","P429504",1
"741","P332939","P437074",1
"745","P332939","P459218",1
"747","P332939","P492330",1
"748","P332939","Q000001",1
