sheep,ewe,goat,lamb,kid,ox,young,equid,donkey,equid,donkey,snake,lion_lioness,dog,tiger_wild-animal,dog,cat,monkey,gazelle,animal,goat_ram,elephant,multitude,insect,fly,locust,rodent,mongoose_sorcerer,turtle,pig,ant,animal,scorpion,frog,flesh
udu[sheep]n_kur[mountain]n,NA,maš[goat]n_sala[bug-ridden]aj,NA,NA,gud[ox]n_a₂-x-x[na]na,NA,NA,NA,NA,NA,muš[snake]n_uŋiri[unmng]n_mu[grow]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_sila[cut]n_zag[side]n_udu[sheep]n
udu[sheep]n_hi.gina[unmng]n,NA,maš[goat]n_kur[mountain]n,NA,NA,gud[ox]n_x[na]na,NA,NA,NA,NA,NA,muš[snake]n_gar[knob]n_ŋeštin[vine]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_masila[heel]n
udu[sheep]n_diŋir[deity]n_gu[eat]v/t,NA,maš[goat]n_sakeškešsa[bug-ridden]n,NA,NA,gudalim[bovid]n,NA,NA,NA,NA,NA,muš[snake]n_igi[eye]n_ŋal[be]v/i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_si[horn]n_masila[heel]n
udu[sheep]n_urmah[lion]n_gu[eat]v/t,NA,maš[goat]n_guʾeguʾe[fatty?]aj,NA,NA,gud[ox]n_an[sky]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_masila[heel]n_tum[na]na
udu[sheep]n_urbara[wolf]n_gu[eat]v/t,NA,maš[goat]n_min[two]nu,NA,NA,gud[ox]n_dumu[child]n_{d}utu[na]na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_ti[rib]n
udu[sheep]n_šurum[litter]n,NA,maš[goat]n_eš[three]nu,NA,NA,gud[ox]n_kun[tail]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_ti[rib]n
udu[sheep]n_gag[pock]n_šub[fall]v/t,NA,maš[goat]n_babbar[white]v/i,NA,NA,gud[ox]n_lullubi[1]gn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_gag[nail]n_ti[rib]n
udu[sheep]n_mur[lung]n_šub[fall]v/t,NA,maš[goat]n_giggi[black]v/i,NA,NA,gud[ox]n_ki[place]n_ŋar[place]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_gag[nail]n_zag[side]n
udu[sheep]n_gum[mange]n_šub[fall]v/t,NA,maš[goat]n_su[red]v/i,NA,NA,gud[ox]n_gu[neck]n_ŋar[place]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_gag[nail]n_sala[bug-ridden]aj
udu[sheep]n_ib[hips]n_gig[sick]v/i,NA,maš[goat]n_kiŋgia[~animal]n,NA,NA,gud[ox]n_ab[cow]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_bun[bladder]n
