doc_A,doc_B,dist
P347814,Q000039,3.36363636363636
P370399,P235262,3
P370399,P247864,3
P370399,P250364,3
P370399,P253228,4
P370399,P253233,3.33333333333333
P370399,P253238,8
P370399,P253866,4
P370399,P271301,3
P370399,P271771,3.5
P370399,P271911,4
P370399,P273880,2.94117647058824
P370399,P332934,3.33333333333333
P370399,P346714,3
P370399,P347814,4
P370399,P370399,0.285714285714286
P370399,P388265,3.63636363636364
P370399,P429503,4
P370399,P437074,3.2
P370399,P447996,4
P370399,P459216,3.42857142857143
P370399,P459217,4
P370399,P459218,4
P370399,Q000039,3.33333333333333
P388265,P235262,4
P388265,P247864,3.22222222222222
P388265,P250364,3.71428571428571
P388265,P253228,3.4
P388265,P253233,2.66666666666667
P388265,P253238,3
P388265,P253866,2.88888888888889
P388265,P271301,3
P388265,P271771,3.33333333333333
P388265,P271911,3.66666666666667
P388265,P273880,3.48148148148148
P388265,P332934,3.2
P388265,P346714,3.8
P388265,P347814,3.77777777777778
P388265,P370399,3.63636363636364
P388265,P388265,0
P388265,P429503,3.2
P388265,P437074,2.66666666666667
P388265,P447996,3.66666666666667
P388265,P459216,3.07692307692308
P388265,P459217,3.06666666666667
P388265,P459218,3
P388265,Q000039,3.38095238095238
P429503,P235262,4
P429503,P247864,4
P429503,P250364,4
P429503,P253228,4
P429503,P253233,2.33333333333333
P429503,P253238,1.2
P429503,P253866,4
P429503,P271301,2.26666666666667
P429503,P271771,3.5
P429503,P271911,8
P429503,P273880,3.81818181818182
P429503,P332934,2.4
P429503,P346714,4
P429503,P347814,8
P429503,P370399,4
P429503,P388265,3.2
P429503,P429503,0.4
P429503,P437074,4
P429503,P447996,3.55555555555556
P429503,P459216,3.25
P429503,P459217,2.85714285714286
P429503,P459218,8
P429503,Q000039,2.53333333333333
P437074,P235262,4
P437074,P247864,2.8
P437074,P250364,4
P437074,P253228,4
P437074,P253233,3
P437074,P253238,8
P437074,P253866,3.33333333333333
P437074,P271301,2
P437074,P271771,3.33333333333333
P437074,P271911,8
P437074,P273880,3.6
P437074,P332934,4
P437074,P346714,8
P437074,P347814,8
P437074,P370399,3.2
P437074,P388265,2.66666666666667
P437074,P429503,4
P437074,P437074,0.666666666666667
P437074,P447996,3
P437074,P459216,4
P437074,P459217,4
P437074,P459218,8
P437074,Q000039,2.44444444444444
P447996,P235262,3.5
P447996,P247864,3.55555555555556
P447996,P250364,4
P447996,P253228,3.11111111111111
P447996,P253233,3.11111111111111
P447996,P253238,3.5
P447996,P253866,4
P447996,P271301,3.06666666666667
P447996,P271771,4
P447996,P271911,4
P447996,P273880,3.6
P447996,P332934,3.42857142857143
P447996,P346714,4
P447996,P347814,8
P447996,P370399,4
P447996,P388265,3.66666666666667
P447996,P429503,3.55555555555556
P447996,P437074,3
P447996,P447996,0
P447996,P459216,3.6
P447996,P459217,3.53846153846154
P447996,P459218,8
P447996,Q000039,3.1
P459216,P235262,2.85714285714286
P459216,P247864,3.27272727272727
P459216,P250364,4
P459216,P253228,3.42857142857143
P459216,P253233,3.11111111111111
P459216,P253238,2.8
P459216,P253866,3.33333333333333
P459216,P271301,2.22222222222222
P459216,P271771,2.66666666666667
P459216,P271911,8
P459216,P273880,3.69230769230769
P459216,P332934,2.13333333333333
P459216,P346714,4
P459216,P347814,8
P459216,P370399,3.42857142857143
P459216,P388265,3.07692307692308
P459216,P429503,3.25
P459216,P437074,4
P459216,P447996,3.6
P459216,P459216,0.285714285714286
P459216,P459217,1.83333333333333
P459216,P459218,8
P459216,Q000039,2.6
P459217,P235262,2.66666666666667
P459217,P247864,3.6
P459217,P250364,4
P459217,P253228,3.55555555555556
P459217,P253233,3
P459217,P253238,2
P459217,P253866,4
P459217,P271301,1.875
P459217,P271771,2
P459217,P271911,4
P459217,P273880,3.5
P459217,P332934,2
P459217,P346714,4
P459217,P347814,8
P459217,P370399,4
P459217,P388265,3.06666666666667
P459217,P429503,2.85714285714286
P459217,P437074,4
P459217,P447996,3.53846153846154
P459217,P459216,1.83333333333333
